agent,env,env_step,episode_reward,episode_success,seed
DCWM,mw-assembly,0.0,85.11421203613281,0.0,2
DCWM,mw-assembly,100000.0,1111.4569091796875,0.0,2
DCWM,mw-assembly,200000.0,1166.2257080078125,0.0,2
DCWM,mw-assembly,300000.0,1227.4251708984375,0.1000000014901161,2
DCWM,mw-assembly,400000.0,1229.6998291015625,0.800000011920929,2
DCWM,mw-assembly,500000.0,1534.492919921875,1.0,2
DCWM,mw-assembly,600000.0,1106.032958984375,0.699999988079071,2
DCWM,mw-assembly,700000.0,1439.79248046875,1.0,2
DCWM,mw-assembly,800000.0,1435.96533203125,0.9000000357627869,2
DCWM,mw-assembly,900000.0,1545.193115234375,1.0,2
DCWM,mw-assembly,1000000.0,1421.44287109375,0.9000000357627869,2
DCWM,mw-assembly,1100000.0,1409.0985107421875,0.9000000357627869,2
DCWM,mw-assembly,1200000.0,1482.9957275390625,0.9000000357627869,2
DCWM,mw-assembly,1300000.0,1454.0521240234375,1.0,2
DCWM,mw-assembly,1400000.0,1209.021240234375,0.9000000357627869,2
DCWM,mw-assembly,1500000.0,1491.0535888671875,1.0,2
DCWM,mw-assembly,1600000.0,1602.6279296875,1.0,2
DCWM,mw-assembly,1700000.0,1599.05908203125,1.0,2
DCWM,mw-assembly,1800000.0,1612.1859130859375,1.0,2
DCWM,mw-assembly,1900000.0,1556.4691162109375,1.0,2
DCWM,mw-assembly,2000000.0,1607.5018310546875,1.0,2
DCWM,mw-assembly,2100000.0,1603.05419921875,1.0,2
DCWM,mw-assembly,2200000.0,1451.584228515625,0.9000000357627869,2
DCWM,mw-assembly,2300000.0,1555.7086181640625,1.0,2
DCWM,mw-assembly,2400000.0,1491.7066650390625,0.9000000357627869,2
DCWM,mw-assembly,2500000.0,1335.23046875,0.9000000357627869,2
DCWM,mw-assembly,2600000.0,1484.2962646484375,1.0,2
DCWM,mw-assembly,2700000.0,1239.87353515625,0.800000011920929,2
DCWM,mw-assembly,2800000.0,1455.278564453125,0.9000000357627869,2
DCWM,mw-assembly,2900000.0,1435.6685791015625,0.9000000357627869,2
DCWM,mw-assembly,0.0,66.50970458984375,0.0,1
DCWM,mw-assembly,100000.0,1019.9595947265624,0.0,1
DCWM,mw-assembly,200000.0,1110.2677001953125,0.0,1
DCWM,mw-assembly,300000.0,970.9926147460938,0.6000000238418579,1
DCWM,mw-assembly,400000.0,1534.253173828125,1.0,1
DCWM,mw-assembly,500000.0,1449.4337158203125,1.0,1
DCWM,mw-assembly,600000.0,976.8012084960938,0.699999988079071,1
DCWM,mw-assembly,700000.0,1531.4656982421875,1.0,1
