discrete_encoding_type,env,env_step,time,episode_reward,seed
codes,walker-walk,1000.0,106.68997740745544,35.183502197265625,1
codes,walker-walk,26000.0,1459.0788617134094,298.6482238769531,1
codes,walker-walk,51000.0,3067.3097898960114,953.2974853515624,1
codes,walker-walk,76000.0,4637.017773628235,961.2322387695312,1
codes,walker-walk,101000.0,6198.673623800278,972.0142822265624,1
codes,walker-walk,126000.0,7757.816406965256,966.6049194335938,1
codes,walker-walk,151000.0,9323.198614120483,967.5899658203124,1
codes,walker-walk,176000.0,10892.424870967863,976.4777221679688,1
codes,walker-walk,201000.0,12440.530465364456,974.1222534179688,1
codes,walker-walk,226000.0,14008.163199663162,967.9242553710938,1
codes,walker-walk,251000.0,15579.459948539734,976.8920288085938,1
codes,walker-walk,276000.0,17147.01379442215,977.8165893554688,1
codes,walker-walk,301000.0,18697.219538211823,973.5411987304688,1
codes,walker-walk,326000.0,20262.37473297119,980.3583984375,1
codes,walker-walk,351000.0,21815.34811091423,980.8150634765624,1
codes,walker-walk,376000.0,23381.811389684677,974.1094970703124,1
codes,walker-walk,401000.0,24934.902289390564,968.794921875,1
codes,walker-walk,426000.0,26505.129019021988,979.5208129882812,1
codes,walker-walk,451000.0,28069.67873096466,970.3881225585938,1
codes,walker-walk,476000.0,29627.577154159542,974.2338256835938,1
codes,walker-walk,501000.0,31185.259513378143,978.5870971679688,1
codes,walker-walk,526000.0,32752.647696733475,975.2275390625,1
codes,walker-walk,551000.0,34327.78061962128,976.8524780273438,1
codes,walker-walk,576000.0,35891.01893043518,975.8052978515624,1
codes,walker-walk,601000.0,37450.432243824005,979.8455200195312,1
codes,walker-walk,626000.0,39017.28189373016,971.9569702148438,1
codes,walker-walk,651000.0,40577.04978251457,977.9358520507812,1
codes,walker-walk,676000.0,42127.30180954933,974.173828125,1
codes,walker-walk,701000.0,43685.1075937748,978.4892578125,1
codes,walker-walk,726000.0,45240.988211631775,980.7968139648438,1
codes,walker-walk,751000.0,46805.277549505234,972.3990478515624,1
codes,walker-walk,776000.0,48366.196621418,981.4511108398438,1
codes,walker-walk,801000.0,49939.48400783539,977.3129272460938,1
codes,walker-walk,826000.0,51493.05731487274,979.7946166992188,1
codes,walker-walk,851000.0,53044.96386671066,977.830078125,1
codes,walker-walk,876000.0,54602.68387198448,982.1752319335938,1
codes,walker-walk,901000.0,56171.43443775177,982.7704467773438,1
codes,walker-walk,926000.0,57727.62164139747,970.9191284179688,1
codes,walker-walk,951000.0,59287.18161678314,987.49853515625,1
codes,walker-walk,976000.0,60835.79280471802,981.8583984375,1
codes,walker-walk,1001000.0,62389.96612763405,975.4882202148438,1
codes,walker-walk,1026000.0,63954.925775289536,980.2838134765624,1
codes,walker-walk,1051000.0,65506.51715350151,975.2467651367188,1
codes,walker-walk,1076000.0,67049.7532787323,982.3121337890624,1
codes,walker-walk,1101000.0,68605.10873198509,980.607421875,1
codes,walker-walk,1126000.0,70166.98424601555,982.5637817382812,1
codes,walker-walk,1151000.0,71728.82840156555,977.92724609375,1
codes,walker-walk,1176000.0,73282.75214385986,977.8424682617188,1
codes,walker-walk,1201000.0,74847.07358574867,979.2839965820312,1
codes,walker-walk,1226000.0,76413.5560157299,978.4398803710938,1
codes,walker-walk,1251000.0,77979.85415673256,967.7662353515624,1
codes,walker-walk,1276000.0,79517.99749279022,974.7601928710938,1
codes,walker-walk,1301000.0,81087.85556268692,980.0914916992188,1
codes,walker-walk,1326000.0,82639.36329865456,980.2193603515624,1
codes,walker-walk,1351000.0,84196.9929471016,974.0275268554688,1
codes,walker-walk,1376000.0,85762.67448401451,981.7826538085938,1
codes,walker-walk,1401000.0,87329.92926192284,977.0660400390624,1
codes,walker-walk,1426000.0,88892.56048130989,974.6384887695312,1
codes,walker-walk,1451000.0,90453.32180261612,979.3887939453124,1
codes,walker-walk,1476000.0,92013.63548779488,982.4588012695312,1
codes,walker-walk,1501000.0,93594.31786632538,976.6146850585938,1
codes,walker-walk,1526000.0,95164.62903237344,986.7890625,1
codes,walker-walk,1551000.0,96704.70181298256,977.8746337890624,1
codes,walker-walk,1576000.0,98246.49808835983,980.0519409179688,1
codes,walker-walk,1601000.0,99792.60754919052,979.0017700195312,1
codes,walker-walk,1626000.0,101330.14514756204,981.1691284179688,1
codes,walker-walk,1651000.0,102903.59729743004,981.5554809570312,1
codes,walker-walk,1676000.0,104475.08121442796,981.8992309570312,1
codes,walker-walk,1701000.0,106028.34696626665,980.9216918945312,1
codes,walker-walk,1726000.0,107593.7191324234,981.75927734375,1
codes,walker-walk,1751000.0,109137.24247527122,985.6453247070312,1
codes,walker-walk,1776000.0,110699.47280216216,982.4046020507812,1
codes,walker-walk,1801000.0,112266.12927103044,984.6402587890624,1
codes,walker-walk,1826000.0,113808.83387827872,981.4739379882812,1
codes,walker-walk,1851000.0,115380.53842926024,976.5222778320312,1
codes,walker-walk,1876000.0,116937.06864380836,980.7477416992188,1
codes,walker-walk,1901000.0,118498.83239865304,985.3577270507812,1
codes,walker-walk,1926000.0,120068.11882781982,976.130859375,1
codes,walker-walk,1951000.0,121609.27153086662,983.3595581054688,1
codes,walker-walk,1976000.0,123169.12161278725,973.9835815429688,1
codes,walker-walk,2001000.0,124720.24311351776,980.7350463867188,1
codes,walker-walk,2026000.0,126257.82248592377,983.5623168945312,1
codes,walker-walk,2051000.0,127822.0764503479,977.6759643554688,1
codes,walker-walk,2076000.0,129373.11437106133,979.6982421875,1
codes,walker-walk,2101000.0,130923.01706194878,975.5492553710938,1
codes,walker-walk,2126000.0,132478.2895359993,974.5474853515624,1
codes,walker-walk,2151000.0,134022.32128334045,977.3583984375,1
codes,walker-walk,2176000.0,135564.5692296028,982.0925903320312,1
codes,walker-walk,2201000.0,137093.21880364418,982.9364624023438,1
codes,walker-walk,2226000.0,138625.00573515892,979.5421142578124,1
codes,walker-walk,2251000.0,140132.66910219193,976.2984619140624,1
codes,walker-walk,2276000.0,141651.84512329102,985.9236450195312,1
codes,walker-walk,2301000.0,143176.82482361794,980.7296752929688,1
codes,walker-walk,2326000.0,144706.78427529335,977.2262573242188,1
codes,walker-walk,2351000.0,146245.59714627266,980.3059692382812,1
codes,walker-walk,2376000.0,147782.23566150665,979.3717651367188,1
codes,walker-walk,2401000.0,149344.6431338787,979.7975463867188,1
codes,walker-walk,2426000.0,150915.67975330353,978.7144775390624,1
codes,walker-walk,2451000.0,152507.1633617878,981.3119506835938,1
codes,walker-walk,2476000.0,154086.35223197937,981.95703125,1
codes,walker-walk,2501000.0,155655.21857213974,985.0974731445312,1
codes,walker-walk,2526000.0,157234.25917553902,976.4931640625,1
codes,walker-walk,2551000.0,158821.6401360035,975.1710815429688,1
codes,walker-walk,2576000.0,160416.73266482353,980.5971069335938,1
codes,walker-walk,2601000.0,161997.2077920437,977.3273315429688,1
codes,walker-walk,2626000.0,163581.61702609062,978.2205200195312,1
codes,walker-walk,2651000.0,165163.4082145691,979.3895874023438,1
codes,walker-walk,1000.0,103.66127967834473,32.85527038574219,2
