agent,env,env_step,episode_reward,seed
DCWM (ours),walker-walk,26000.0,891.6597900390625,2
DCWM (ours),walker-walk,51000.0,960.4812622070312,2
DCWM (ours),walker-walk,76000.0,967.2138061523438,2
DCWM (ours),walker-walk,101000.0,965.17333984375,2
DCWM (ours),walker-walk,126000.0,974.35302734375,2
DCWM (ours),walker-walk,151000.0,972.6490478515624,2
DCWM (ours),walker-walk,176000.0,971.3804931640624,2
DCWM (ours),walker-walk,201000.0,972.7320556640624,2
DCWM (ours),walker-walk,226000.0,971.15771484375,2
DCWM (ours),walker-walk,251000.0,974.3629150390624,2
DCWM (ours),walker-walk,276000.0,980.8057861328124,2
DCWM (ours),walker-walk,301000.0,971.1236572265624,2
DCWM (ours),walker-walk,326000.0,976.0277709960938,2
DCWM (ours),walker-walk,351000.0,972.6961059570312,2
DCWM (ours),walker-walk,376000.0,978.5189819335938,2
DCWM (ours),walker-walk,401000.0,975.4894409179688,2
DCWM (ours),walker-walk,426000.0,974.4560546875,2
DCWM (ours),walker-walk,451000.0,980.8549194335938,2
DCWM (ours),walker-walk,476000.0,979.3736572265624,2
DCWM (ours),walker-walk,501000.0,984.8458251953124,2
DCWM (ours),walker-walk,526000.0,977.1414184570312,2
DCWM (ours),walker-walk,551000.0,978.6052856445312,2
DCWM (ours),walker-walk,576000.0,981.7186889648438,2
DCWM (ours),walker-walk,601000.0,980.888671875,2
DCWM (ours),walker-walk,626000.0,979.1342163085938,2
DCWM (ours),walker-walk,651000.0,987.1808471679688,2
DCWM (ours),walker-walk,676000.0,981.5886840820312,2
DCWM (ours),walker-walk,701000.0,981.0880126953124,2
DCWM (ours),walker-walk,726000.0,972.5397338867188,2
DCWM (ours),walker-walk,751000.0,974.6867065429688,2
DCWM (ours),walker-walk,776000.0,978.1070556640624,2
DCWM (ours),walker-walk,801000.0,978.7377319335938,2
DCWM (ours),walker-walk,826000.0,978.6066284179688,2
DCWM (ours),walker-walk,851000.0,978.3191528320312,2
DCWM (ours),walker-walk,876000.0,983.3259887695312,2
DCWM (ours),walker-walk,901000.0,984.6104736328124,2
DCWM (ours),walker-walk,926000.0,978.0601806640624,2
DCWM (ours),walker-walk,951000.0,986.6851806640624,2
DCWM (ours),walker-walk,976000.0,980.49462890625,2
DCWM (ours),walker-walk,1001000.0,982.89501953125,2
DCWM (ours),walker-walk,1026000.0,986.4221801757812,2
DCWM (ours),walker-walk,1051000.0,982.8070678710938,2
DCWM (ours),walker-walk,1076000.0,976.1866455078124,2
DCWM (ours),walker-walk,1101000.0,981.9459838867188,2
DCWM (ours),walker-walk,1126000.0,974.5826416015624,2
DCWM (ours),walker-walk,1151000.0,979.2672119140624,2
DCWM (ours),walker-walk,1176000.0,988.8195190429688,2
DCWM (ours),walker-walk,1201000.0,980.0714721679688,2
DCWM (ours),walker-walk,1226000.0,982.4325561523438,2
DCWM (ours),walker-walk,1251000.0,985.9683837890624,2
DCWM (ours),walker-walk,1276000.0,981.4195556640624,2
DCWM (ours),walker-walk,1301000.0,976.2302856445312,2
DCWM (ours),walker-walk,1326000.0,979.0646362304688,2
DCWM (ours),walker-walk,1351000.0,979.0328369140624,2
DCWM (ours),walker-walk,1376000.0,974.265625,2
DCWM (ours),walker-walk,1401000.0,978.2074584960938,2
DCWM (ours),walker-walk,1426000.0,988.2112426757812,2
DCWM (ours),walker-walk,1451000.0,983.0924072265624,2
DCWM (ours),walker-walk,1476000.0,979.3048706054688,2
DCWM (ours),walker-walk,1501000.0,978.1718139648438,2
DCWM (ours),walker-walk,1526000.0,979.96875,2
DCWM (ours),walker-walk,1551000.0,979.4508666992188,2
DCWM (ours),walker-walk,1576000.0,976.9926147460938,2
DCWM (ours),walker-walk,1601000.0,981.2388916015624,2
DCWM (ours),walker-walk,1626000.0,983.2687377929688,2
DCWM (ours),walker-walk,1651000.0,984.2465209960938,2
DCWM (ours),walker-walk,1676000.0,984.8598022460938,2
DCWM (ours),walker-walk,1701000.0,976.9801025390624,2
DCWM (ours),walker-walk,1726000.0,984.4647827148438,2
DCWM (ours),walker-walk,1751000.0,982.1767578125,2
DCWM (ours),walker-walk,1776000.0,980.8015747070312,2
DCWM (ours),walker-walk,1801000.0,979.6150512695312,2
DCWM (ours),walker-walk,1826000.0,986.7732543945312,2
DCWM (ours),walker-walk,1851000.0,982.2133178710938,2
DCWM (ours),walker-walk,1876000.0,972.8908081054688,2
DCWM (ours),walker-walk,1901000.0,983.2140502929688,2
DCWM (ours),walker-walk,1926000.0,978.3870239257812,2
DCWM (ours),walker-walk,1951000.0,982.0616455078124,2
DCWM (ours),walker-walk,1976000.0,973.951171875,2
DCWM (ours),walker-walk,2001000.0,980.56884765625,2
DCWM (ours),walker-walk,2026000.0,980.3353881835938,2
DCWM (ours),walker-walk,2051000.0,985.95703125,2
DCWM (ours),walker-walk,2076000.0,980.9117431640624,2
DCWM (ours),walker-walk,2101000.0,965.9429931640624,2
DCWM (ours),walker-walk,2126000.0,986.0451049804688,2
DCWM (ours),walker-walk,2151000.0,979.6326293945312,2
DCWM (ours),walker-walk,2176000.0,979.0219116210938,2
DCWM (ours),walker-walk,2201000.0,982.52490234375,2
DCWM (ours),walker-walk,2226000.0,979.48095703125,2
DCWM (ours),walker-walk,2251000.0,983.32275390625,2
DCWM (ours),walker-walk,2276000.0,984.3982543945312,2
DCWM (ours),walker-walk,2301000.0,984.3886108398438,2
DCWM (ours),walker-walk,2326000.0,979.7055053710938,2
DCWM (ours),walker-walk,2351000.0,981.91357421875,2
DCWM (ours),walker-walk,2376000.0,983.0748901367188,2
DCWM (ours),walker-walk,2401000.0,985.1967163085938,2
DCWM (ours),walker-walk,2426000.0,976.5247192382812,2
DCWM (ours),walker-walk,2451000.0,975.6286010742188,2
DCWM (ours),walker-walk,2476000.0,977.3844604492188,2
DCWM (ours),walker-walk,2501000.0,970.6652221679688,2
DCWM (ours),walker-walk,2526000.0,984.5067749023438,2
DCWM (ours),walker-walk,2551000.0,981.44140625,2
DCWM (ours),walker-walk,2576000.0,984.1336059570312,2
DCWM (ours),walker-walk,2601000.0,982.0236206054688,2
DCWM (ours),walker-walk,2626000.0,976.8798217773438,2
DCWM (ours),walker-walk,2651000.0,971.7970581054688,2
DCWM (ours),walker-walk,2676000.0,979.8097534179688,2
DCWM (ours),walker-walk,2701000.0,981.4957885742188,2
DCWM (ours),walker-walk,2726000.0,981.5905151367188,2
DCWM (ours),walker-walk,2751000.0,980.7369384765624,2
DCWM (ours),walker-walk,2776000.0,981.0075073242188,2
DCWM (ours),walker-walk,2801000.0,979.7802124023438,2
DCWM (ours),walker-walk,2826000.0,979.5343017578124,2
DCWM (ours),walker-walk,2851000.0,985.80322265625,2
DCWM (ours),walker-walk,2876000.0,982.5949096679688,2
DCWM (ours),walker-walk,2901000.0,973.9786987304688,2
DCWM (ours),walker-walk,2926000.0,981.7721557617188,2
DCWM (ours),walker-walk,2951000.0,980.5814819335938,2
DCWM (ours),walker-walk,2976000.0,987.6203002929688,2
DCWM (ours),walker-walk,3001000.0,981.0841064453124,2
DCWM (ours),walker-walk,3026000.0,981.478515625,2
DCWM (ours),walker-walk,3051000.0,984.3531494140624,2
DCWM (ours),walker-walk,3076000.0,981.5173950195312,2
DCWM (ours),walker-walk,3101000.0,985.3244018554688,2
DCWM (ours),walker-walk,3126000.0,975.0744018554688,2
DCWM (ours),walker-walk,3151000.0,979.3798828125,2
DCWM (ours),walker-walk,3176000.0,986.1636962890624,2
DCWM (ours),walker-walk,3201000.0,983.2201538085938,2
DCWM (ours),walker-walk,3226000.0,982.7680053710938,2
DCWM (ours),walker-walk,3251000.0,975.251953125,2
DCWM (ours),walker-walk,3276000.0,979.5857543945312,2
DCWM (ours),walker-walk,3301000.0,982.6388549804688,2
DCWM (ours),walker-walk,3326000.0,980.1671752929688,2
DCWM (ours),walker-walk,1000.0,46.411861419677734,3
DCWM (ours),walker-walk,26000.0,782.9484252929688,3
DCWM (ours),walker-walk,51000.0,964.6975708007812,3
