latent_dim,env,env_step,episode_reward,active_percent,seed
128,walker-walk,1000.0,53.45713424682617,64.47917175292969,1
128,walker-walk,26000.0,781.9031982421875,99.84375,1
128,walker-walk,51000.0,945.0092163085938,99.89583587646484,1
128,walker-walk,76000.0,958.083984375,99.89583587646484,1
128,walker-walk,101000.0,962.294921875,99.73958587646484,1
128,walker-walk,126000.0,962.4650268554688,99.94792175292967,1
128,walker-walk,151000.0,963.5126953125,99.73958587646484,1
128,walker-walk,176000.0,963.1442260742188,99.94792175292967,1
128,walker-walk,201000.0,965.9017944335938,100.0,1
128,walker-walk,226000.0,963.9519653320312,99.6875,1
128,walker-walk,251000.0,973.7755126953124,99.94792175292967,1
128,walker-walk,276000.0,957.5584106445312,99.84375,1
128,walker-walk,301000.0,966.8966674804688,99.84375,1
128,walker-walk,326000.0,968.3041381835938,99.63541412353516,1
128,walker-walk,351000.0,954.0260009765624,99.73958587646484,1
128,walker-walk,376000.0,967.6148681640624,99.73958587646484,1
128,walker-walk,401000.0,968.4310913085938,99.79166412353516,1
128,walker-walk,426000.0,974.4392700195312,99.6875,1
128,walker-walk,451000.0,941.4953002929688,99.89583587646484,1
128,walker-walk,476000.0,969.10546875,99.53125762939452,1
128,walker-walk,501000.0,970.7548828125,99.73958587646484,1
128,walker-walk,526000.0,961.5447387695312,99.42707824707033,1
128,walker-walk,551000.0,976.2296752929688,98.90625,1
128,walker-walk,576000.0,968.6793212890624,99.32291412353516,1
128,walker-walk,601000.0,974.3141479492188,99.21875762939452,1
128,walker-walk,626000.0,972.17236328125,98.75,1
128,walker-walk,651000.0,967.9674682617188,98.22916412353516,1
128,walker-walk,676000.0,962.2802734375,98.64583587646484,1
128,walker-walk,701000.0,972.1908569335938,98.80209350585938,1
128,walker-walk,726000.0,975.7985229492188,98.07292175292967,1
128,walker-walk,751000.0,973.9734497070312,98.02083587646484,1
128,walker-walk,776000.0,975.7644653320312,98.02083587646484,1
128,walker-walk,801000.0,973.19921875,98.07292175292967,1
128,walker-walk,826000.0,977.6251220703124,97.70833587646484,1
128,walker-walk,851000.0,974.1083984375,97.86459350585938,1
128,walker-walk,876000.0,970.59375,98.07292175292967,1
128,walker-walk,901000.0,974.6822509765624,98.22917175292967,1
128,walker-walk,926000.0,966.5142822265624,97.81250762939452,1
128,walker-walk,951000.0,983.3888549804688,97.81250762939452,1
128,walker-walk,976000.0,971.1153564453124,98.02084350585938,1
128,walker-walk,1001000.0,973.1687622070312,98.02083587646484,1
128,walker-walk,1026000.0,975.2377319335938,98.17708587646484,1
128,walker-walk,1051000.0,966.1910400390624,97.8125,1
128,walker-walk,1076000.0,978.4228515625,97.76042175292967,1
128,walker-walk,1101000.0,973.6231689453124,98.125,1
128,walker-walk,1126000.0,976.9769897460938,97.44792175292967,1
128,walker-walk,1151000.0,977.2609252929688,98.125,1
128,walker-walk,1176000.0,972.1337280273438,97.76042175292967,1
128,walker-walk,1201000.0,974.3355712890624,98.54167175292967,1
128,walker-walk,1226000.0,977.7377319335938,98.48958587646484,1
