fsq_levels,env,env_step,time,episode_reward,active_percent,seed
"[8, 8]",walker-walk,1000.0,0,33.05604934692383,53.863525390625,1
"[8, 8]",walker-walk,26000.0,0,650.450439453125,82.568359375,1
"[8, 8]",walker-walk,51000.0,0,942.0248413085938,94.1986083984375,1
"[8, 8]",walker-walk,76000.0,0,956.9906616210938,94.8455810546875,1
"[8, 8]",walker-walk,101000.0,0,969.0637817382812,95.0286865234375,1
"[8, 8]",walker-walk,126000.0,0,968.20556640625,94.757080078125,1
"[8, 8]",walker-walk,151000.0,0,964.3372192382812,94.7662353515625,1
"[8, 8]",walker-walk,176000.0,0,976.1902465820312,94.989013671875,1
"[8, 8]",walker-walk,201000.0,0,970.9777221679688,94.9859619140625,1
"[8, 8]",walker-walk,226000.0,0,967.17431640625,95.2056884765625,1
"[8, 8]",walker-walk,251000.0,0,975.6482543945312,94.256591796875,1
"[8, 8]",walker-walk,276000.0,0,976.2551879882812,94.5526123046875,1
"[8, 8]",walker-walk,301000.0,0,975.7654418945312,92.779541015625,1
"[8, 8]",walker-walk,326000.0,0,979.5616455078124,91.6290283203125,1
"[8, 8]",walker-walk,351000.0,0,982.2349853515624,89.5721435546875,1
"[8, 8]",walker-walk,376000.0,0,974.8541259765624,89.5904541015625,1
"[8, 8]",walker-walk,401000.0,0,975.2899780273438,88.946533203125,1
"[8, 8]",walker-walk,426000.0,0,975.1453247070312,87.82958984375,1
"[8, 8]",walker-walk,451000.0,0,966.3355712890624,87.5030517578125,1
"[8, 8]",walker-walk,476000.0,0,973.7849731445312,87.847900390625,1
"[8, 8]",walker-walk,501000.0,0,978.3082885742188,88.0401611328125,1
"[8, 8]",walker-walk,526000.0,0,975.7835083007812,89.02587890625,1
"[8, 8]",walker-walk,551000.0,0,979.0966796875,88.4063720703125,1
"[8, 8]",walker-walk,576000.0,0,980.6212768554688,89.398193359375,1
"[8, 8]",walker-walk,601000.0,0,977.0367431640624,90.728759765625,1
"[8, 8]",walker-walk,626000.0,0,978.5888061523438,90.49072265625,1
"[8, 8]",walker-walk,651000.0,0,974.1640625,91.8304443359375,1
"[8, 8]",walker-walk,676000.0,0,969.7069702148438,92.6361083984375,1
"[8, 8]",walker-walk,701000.0,0,975.6747436523438,90.545654296875,1
"[8, 8]",walker-walk,726000.0,0,983.6506958007812,91.461181640625,1
"[8, 8]",walker-walk,751000.0,0,975.3215942382812,92.4407958984375,1
"[8, 8]",walker-walk,776000.0,0,979.7411499023438,91.571044921875,1
"[8, 8]",walker-walk,801000.0,0,977.6863403320312,93.817138671875,1
"[8, 8]",walker-walk,826000.0,0,976.7447509765624,94.5068359375,1
"[8, 8]",walker-walk,851000.0,0,971.6249389648438,95.1080322265625,1
"[8, 8]",walker-walk,876000.0,0,982.2423706054688,94.8333740234375,1
"[8, 8]",walker-walk,901000.0,0,984.4791259765624,95.2789306640625,1
"[8, 8]",walker-walk,926000.0,0,966.1454467773438,95.245361328125,1
"[8, 8]",walker-walk,951000.0,0,986.9625244140624,95.34912109375,1
"[8, 8]",walker-walk,976000.0,0,976.7716064453124,94.1192626953125,1
"[8, 8]",walker-walk,1001000.0,0,975.7296142578124,95.050048828125,1
"[8, 8]",walker-walk,1026000.0,0,978.7566528320312,95.37353515625,1
"[8, 8]",walker-walk,1051000.0,0,967.8756103515624,95.3155517578125,1
"[8, 8]",walker-walk,1076000.0,0,977.1119384765624,95.330810546875,1
"[8, 8]",walker-walk,1101000.0,0,978.0494384765624,96.038818359375,1
"[8, 8]",walker-walk,1126000.0,0,979.6988525390624,96.0662841796875,1
"[8, 8]",walker-walk,1151000.0,0,977.4197387695312,96.502685546875,1
"[8, 8]",walker-walk,1176000.0,0,974.06884765625,96.234130859375,1
"[8, 8]",walker-walk,1201000.0,0,972.5294189453124,96.77734375,1
"[8, 8]",walker-walk,1226000.0,0,978.0193481445312,96.246337890625,1
"[8, 8]",walker-walk,1251000.0,0,972.5559692382812,97.2625732421875,1
"[8, 8]",walker-walk,1276000.0,0,974.1085205078124,97.6287841796875,1
"[8, 8]",walker-walk,1301000.0,0,970.8111572265624,96.97265625,1
"[8, 8]",walker-walk,1326000.0,0,978.3492431640624,97.412109375,1
"[8, 8]",walker-walk,1351000.0,0,968.9456176757812,97.2869873046875,1
"[8, 8]",walker-walk,1376000.0,0,983.2476806640624,97.4151611328125,1
"[8, 8]",walker-walk,1401000.0,0,971.6103515625,96.331787109375,1
"[8, 8]",walker-walk,1426000.0,0,970.0036010742188,96.5423583984375,1
"[8, 8]",walker-walk,1451000.0,0,974.42724609375,96.3409423828125,1
"[8, 8]",walker-walk,1476000.0,0,979.2169799804688,96.35009765625,1
"[8, 8]",walker-walk,1501000.0,0,971.9674072265624,96.0723876953125,1
"[8, 8]",walker-walk,1526000.0,0,983.5639038085938,96.844482421875,1
"[8, 8]",walker-walk,1551000.0,0,978.3739624023438,97.088623046875,1
"[8, 8]",walker-walk,1576000.0,0,979.5523681640624,97.1893310546875,1
"[8, 8]",walker-walk,1601000.0,0,972.2506103515624,96.881103515625,1
"[8, 8]",walker-walk,1626000.0,0,980.7633056640624,96.795654296875,1
"[8, 8]",walker-walk,1651000.0,0,982.6950073242188,96.8414306640625,1
"[8, 8]",walker-walk,1676000.0,0,983.5859375,96.64306640625,1
"[8, 8]",walker-walk,1701000.0,0,979.08203125,96.5484619140625,1
"[8, 8]",walker-walk,1726000.0,0,982.4588012695312,96.54541015625,1
"[8, 8]",walker-walk,1751000.0,0,980.8417358398438,97.0794677734375,1
"[8, 8]",walker-walk,1776000.0,0,981.056640625,96.93603515625,1
"[8, 8]",walker-walk,1801000.0,0,984.4418334960938,96.9390869140625,1
"[8, 8]",walker-walk,1826000.0,0,980.9306640625,97.2198486328125,1
"[8, 8]",walker-walk,1851000.0,0,980.1589965820312,97.357177734375,1
"[8, 8]",walker-walk,1876000.0,0,978.9619140625,97.1435546875,1
"[8, 8]",walker-walk,1901000.0,0,981.2662353515624,96.8231201171875,1
"[8, 8]",walker-walk,1926000.0,0,976.1017456054688,97.1221923828125,1
"[8, 8]",walker-walk,1951000.0,0,984.6676025390624,96.5057373046875,1
"[8, 8]",walker-walk,1976000.0,0,971.8751831054688,96.9573974609375,1
"[8, 8]",walker-walk,2001000.0,0,980.1618041992188,96.5240478515625,1
